r,n,s,S,c
30079,17,10,16,27103
30159,24,14,23,17197
30207,18,10,17,13609
30335,21,11,20,5125
30367,22,13,21,23087
30415,18,10,17,13703
30447,15,8,14,12193
30527,15,7,14,4075
30575,18,10,17,13775
30591,19,9,18,2297
30655,18,10,17,13811
30687,17,9,16,9217
30767,17,9,16,9241
30783,24,13,23,5851
30847,24,13,23,5863
30975,18,10,17,13955
31183,18,8,17,1561
31199,21,10,20,1757
31279,22,12,21,7927
31359,22,10,21,883
31391,15,8,14,12571
31439,21,12,20,15935
31471,17,10,16,28357
31487,21,12,20,15959
31551,20,11,19,10661
31615,19,11,18,21365
31679,22,13,21,24085
31711,16,9,15,19049
31727,19,10,18,7147
31775,17,10,16,28631
31807,24,14,23,18137
31823,18,5,17,59
31871,20,11,19,10769
32047,21,12,20,16243
32063,21,11,20,5417
32159,24,14,23,18337
32207,16,8,15,6449
32223,17,10,16,29035
32239,17,9,16,9683
32287,22,13,21,24547
32303,17,10,16,29107
32367,16,8,15,6481
32575,20,9,19,1223
32639,21,12,20,16543
32671,19,11,18,22079
32703,17,10,16,29467
32895,20,9,19,1235
32927,24,14,23,18775
33007,17,10,16,29741
33071,17,8,16,3311
33087,17,10,16,29813
33183,16,9,15,19933
33231,17,7,16,1109
33247,22,13,21,25277
33311,17,8,16,3335
33391,17,8,16,3343
33439,24,14,23,19067
33535,21,12,20,16997
33599,16,9,15,20183
33663,19,10,18,7583
33695,19,11,18,22771
33711,17,5,16,125
33727,24,14,23,19231
33759,23,13,22,12833
33775,19,11,18,22825
33919,16,9,15,20375
34015,16,8,15,6811
34095,16,8,15,6827
34111,21,10,20,1921
34175,23,13,22,12991
34207,24,14,23,19505
34255,18,10,17,15433
34271,22,10,21,965
34287,19,11,18,23171
34335,16,8,15,6875
34415,16,7,15,2297
34463,22,13,21,26201
34495,16,8,15,6907
34543,17,9,16,10375
34655,16,5,15,257
34671,16,9,15,20827
34687,19,11,18,23441
34927,17,10,16,31471
34943,20,11,19,11807
34975,23,13,22,13295
35023,18,10,17,15779
35039,19,8,18,877
35055,22,13,21,26651
35071,16,9,15,21067
35119,19,7,18,293
35199,19,8,18,881
35231,17,10,16,31745
35263,24,14,23,20107
35279,17,10,16,31789
35311,17,10,16,31817
35327,21,12,20,17905
35359,19,7,18,295
35455,22,11,21,2995
35487,16,9,15,21317
35519,24,13,23,6751
35535,17,9,16,10673
35567,16,9,15,21365
35583,18,10,17,16031
35599,19,4,18,11
35615,17,9,16,10697
35823,22,13,21,27235
35839,22,13,21,27247
35871,21,12,20,18181
35903,16,8,15,7189
36047,23,13,22,13703
36063,16,7,15,2407
36143,17,10,16,32567
36159,17,10,16,32581
36223,16,8,15,7253
36383,17,10,16,32783
36511,18,9,17,5483
36543,17,10,16,32927
36639,18,10,17,16507
36719,18,10,17,16543
36799,16,9,15,22105
36847,17,8,16,3689
36895,23,12,22,4675
36911,17,10,16,33259
36927,17,8,16,3697
36975,22,13,21,28111
37055,16,9,15,22259
37119,18,10,17,16723
37167,18,10,17,16745
37247,17,7,16,1243
37279,23,13,22,14171
37311,17,10,16,33619
37359,21,12,20,18935
37375,21,12,20,18943
37407,18,10,17,16853
37423,20,9,19,1405
37487,18,10,17,16889
37567,22,13,21,28561
37583,21,12,20,19049
37631,24,14,23,21457
37759,19,11,18,25517
37791,16,8,15,7567
37871,16,8,15,7583
37935,22,13,21,28841
37951,16,7,15,2533
37999,17,9,16,11413
38047,18,10,17,17141
38079,17,9,16,11437
38143,22,13,21,28999
38191,24,13,23,7259
38271,19,10,18,8621
38367,16,9,15,23047
38399,17,9,16,11533
38447,20,11,19,12991
38559,22,13,21,29315
38607,17,10,16,34787
38767,24,14,23,22105
38783,19,11,18,26209
38815,18,8,17,1943
